'Blast Burn','Fire','Special','User must recharge next turn.',150,90,5,NULL,NULL,3
'Blaze Kick','Fire','Physical','High critical hit ratio. May burn opponent.',85,90,10,NULL,10,3
'Blizzard','Ice','Special','May freeze opponent.',110,70,5,14,10,1
'Block','Normal','Status','Opponent cannot flee or switch.',NULL,NULL,5,NULL,NULL,3
'Bloom Doom','Grass','Z-Move','Grass type Z-Move.',NULL,NULL,1,NULL,NULL,7
'Blue Flare','Fire','Special','May burn opponent.',130,85,5,NULL,20,5
'Body Slam','Normal','Physical','May paralyze opponent.',85,100,15,NULL,30,1
'Bolt Strike','Electric','Physical','May paralyze opponent.',130,85,5,NULL,20,5
'Bone Club','Ground','Physical','May cause flinching.',65,85,20,NULL,10,1
'Bone Rush','Ground','Physical','Hits 2-5 times in one turn.',25,90,10,NULL,NULL,2
'Bonemerang','Ground','Physical','Hits twice in one turn.',50,90,10,NULL,NULL,1
'Boomburst','Normal','Special','Hits all adjacent Pokémon.',140,100,10,NULL,NULL,6
'Bouncy Bubble','Water','Special','User recovers half the HP inflicted on opponent.',90,100,15,NULL,NULL,7
'Brave Bird','Flying','Physical','User receives recoil damage.',120,100,15,NULL,NULL,4
'Breakneck Blitz','Normal','Z-Move','Normal type Z-Move.',NULL,NULL,1,NULL,NULL,7
'Brick Break','Fighting','Physical','Breaks through Reflect and Light Screen barriers.',75,100,15,31,NULL,3
'Brutal Swing','Dark','Physical','The user swings its body around violently to inflict damage on everything in its vicinity.',60,100,20,59,NULL,7
'Bullet Punch','Steel','Physical','User attacks first.',40,100,30,NULL,NULL,4
'Bullet Seed','Grass','Physical','Hits 2-5 times in one turn.',25,100,30,NULL,NULL,3
'Buzzy Buzz','Electric','Special','Paralyzes the opponent.',90,100,15,NULL,100,7
'Catastropika','Electric','Physical','Pikachu-exclusive Z-Move.',210,NULL,1,NULL,NULL,7
'Celebrate','Normal','Status','The Pokémon congratulates you on your special day. No battle effect.',NULL,NULL,40,NULL,NULL,6
'Chatter','Flying','Special','Confuses opponent.',65,100,20,NULL,100,4
'Clangorous Soulblaze','Dragon','Special','Kommo-o exclusive Z-Move.',185,NULL,1,NULL,NULL,7
'Comet Punch','Normal','Physical','Hits 2-5 times in one turn.',18,85,15,NULL,NULL,1
'Confuse Ray','Ghost','Status','Confuses opponent.',NULL,100,10,NULL,NULL,1
'Confusion','Psychic','Special','May confuse opponent.',50,100,25,NULL,10,1
'Continental Crush','Rock','Z-Move','Rock type Z-Move.',NULL,NULL,1,NULL,NULL,7
'Corkscrew Crash','Steel','Z-Move','Steel type Z-Move.',NULL,NULL,1,NULL,NULL,7
'Crabhammer','Water','Physical','High critical hit ratio.',100,90,10,NULL,NULL,1
'Crafty Shield','Fairy','Status','Protects the Pokémon from status moves.',NULL,NULL,10,NULL,NULL,6
'Cross Chop','Fighting','Physical','High critical hit ratio.',100,80,5,NULL,NULL,2
'Cross Poison','Poison','Physical','High critical hit ratio. May poison opponent.',70,100,20,NULL,10,4
'Crush Grip','Normal','Physical','More powerful when opponent has higher HP.',NULL,100,5,NULL,NULL,4
'Cut','Normal','Physical','',50,95,30,NULL,NULL,1
'Dark Pulse','Dark','Special','May cause flinching.',80,100,15,97,20,4
'Dark Void','Dark','Status','Puts all adjacent opponents to sleep.',NULL,50,10,NULL,NULL,4
'Dazzling Gleam','Fairy','Special','Hits all adjacent opponents.',80,100,10,99,NULL,6
'Devastating Drake','Dragon','Z-Move','Dragon type Z-Move.',NULL,NULL,1,NULL,NULL,7
'Disarming Voice','Fairy','Special','Ignores Accuracy and Evasiveness.',40,NULL,15,NULL,NULL,6
'Discharge','Electric','Special','May paralyze opponent.',80,100,15,NULL,30,4
'Dizzy Punch','Normal','Physical','May confuse opponent.',70,100,10,NULL,20,1
'Doom Desire','Steel','Special','Damage occurs 2 turns later.',140,100,5,NULL,NULL,3
'Double Hit','Normal','Physical','Hits twice in one turn.',35,90,10,NULL,NULL,4
'Double Iron Bash','Steel','Physical','Hits twice in one turn; may cause flinching.',60,100,5,NULL,30,7
'Double Kick','Fighting','Physical','Hits twice in one turn.',30,100,30,NULL,NULL,1
'Double Slap','Normal','Physical','Hits 2-5 times in one turn.',15,85,10,NULL,NULL,1
'Double-Edge','Normal','Physical','User receives recoil damage.',120,100,15,NULL,NULL,1
'Dragon Breath','Dragon','Special','May paralyze opponent.',60,100,20,NULL,30,2
'Dragon Claw','Dragon','Physical','',80,100,15,02,NULL,3
'Dragon Hammer','Dragon','Physical','The user uses its body like a hammer to attack the target and inflict damage.',90,100,15,NULL,NULL,7
'Dragon Pulse','Dragon','Special','',85,100,10,NULL,NULL,4
'Dragon Rage','Dragon','Special','Always inflicts 40 HP.',NULL,100,10,NULL,NULL,1
'Dragon Rush','Dragon','Physical','May cause flinching.',100,75,10,NULL,20,4
'Drain Punch','Fighting','Physical','User recovers half the HP inflicted on opponent.',75,100,10,NULL,NULL,4
'Draining Kiss','Fairy','Special','User recovers most the HP inflicted on opponent.',50,100,10,NULL,NULL,6
'Dream Eater','Psychic','Special','User recovers half the HP inflicted on a sleeping opponent.',100,100,15,85,NULL,1
'Drill Peck','Flying','Physical','',80,100,20,NULL,NULL,1
'Drill Run','Ground','Physical','High critical hit ratio.',80,95,10,NULL,NULL,5
'Dual Chop','Dragon','Physical','Hits twice in one turn.',40,90,15,NULL,NULL,5
'Dynamic Punch','Fighting','Physical','Confuses opponent.',100,50,5,NULL,100,2
'Earthquake','Ground','Physical','Power is doubled if opponent is underground from using Dig.',100,100,10,26,NULL,1
'Echoed Voice','Normal','Special','Power increases each turn.',40,100,15,49,NULL,5
'Egg Bomb','Normal','Physical','',100,75,10,NULL,NULL,1
'Electric Terrain','Electric','Status','Prevents all Pokémon from falling asleep for 5 turns.',NULL,NULL,10,NULL,NULL,6
'Embargo','Dark','Status','Opponent cannot use items.',NULL,100,15,63,NULL,4
'Ember','Fire','Special','May burn opponent.',40,100,25,NULL,10,1
'Encore','Normal','Status','Forces opponent to keep using its last move for 3 turns.',NULL,100,5,NULL,NULL,2
'Explosion','Normal','Physical','User faints.',250,100,5,64,NULL,1
'Extrasensory','Psychic','Special','May cause flinching.',80,100,20,NULL,10,3
'Extreme Evoboost','Normal','Status','Eevee-exclusive Z-Move. Sharply raises all stats.',NULL,NULL,1,NULL,NULL,7
'Extreme Speed','Normal','Physical','User attacks first.',80,100,5,NULL,NULL,2
'Fairy Lock','Fairy','Status','Prevents fleeing in the next turn.',NULL,NULL,10,NULL,NULL,6
'Fairy Wind','Fairy','Special','',40,100,30,NULL,NULL,6
'False Swipe','Normal','Physical','Always leaves opponent with at least 1 HP.',40,100,40,54,NULL,2
'Feint','Normal','Physical','Only hits if opponent uses Protect or Detect in the same turn.',30,100,10,NULL,NULL,4
'Feint Attack','Dark','Physical','Ignores Accuracy and Evasiveness.',60,NULL,20,NULL,NULL,2
'Fire Blast','Fire','Special','May burn opponent.',110,85,5,38,10,1
'Fire Fang','Fire','Physical','May cause flinching and/or burn opponent.',65,95,15,NULL,10,4
'Fire Pledge','Fire','Special','Added effects appear if combined with Grass Pledge or Water Pledge.',80,100,10,NULL,NULL,5
'Fire Punch','Fire','Physical','May burn opponent.',75,100,15,NULL,10,1
'Flame Burst','Fire','Special','May also injure nearby Pokémon.',70,100,15,NULL,NULL,5
'Flame Wheel','Fire','Physical','May burn opponent.',60,100,25,NULL,10,2
'Flamethrower','Fire','Special','May burn opponent.',90,100,15,35,10,1
'Flare Blitz','Fire','Physical','User receives recoil damage. May burn opponent.',120,100,15,NULL,10,4
'Fling','Dark','Physical','Power depends on held item.',NULL,100,10,56,NULL,4
'Floaty Fall','Flying','Physical','May cause flinching.',90,95,15,NULL,30,7
'Flower Shield','Fairy','Status','Sharply raises Defense of all Grass-type Pokémon on the field.',NULL,NULL,10,NULL,NULL,6
'Flying Press','Fighting','Physical','Deals Fighting and Flying type damage.',100,95,10,NULL,NULL,6
'Focus Energy','Normal','Status','Increases critical hit ratio.',NULL,NULL,30,NULL,NULL,1
'Force Palm','Fighting','Physical','May paralyze opponent.',60,100,10,NULL,30,4
'Freeze-Dry','Ice','Special','May freeze opponent. Super-effective against Water types.',70,100,20,NULL,NULL,6
'Freezy Frost','Ice','Special','Resets all stat changes.',90,100,15,NULL,NULL,7
'Frenzy Plant','Grass','Special','User must recharge next turn.',150,90,5,NULL,NULL,3
'Frost Breath','Ice','Special','Always results in a critical hit.',60,90,10,79,100,5
'Frustration','Normal','Physical','Power decreases with higher Friendship.',NULL,100,20,21,NULL,2
'Fury Attack','Normal','Physical','Hits 2-5 times in one turn.',15,85,20,NULL,NULL,1
'Fury Cutter','Bug','Physical','Power increases each turn.',40,95,20,NULL,NULL,2
'Fury Swipes','Normal','Physical','Hits 2-5 times in one turn.',18,80,15,NULL,NULL,1
'Fusion Bolt','Electric','Physical','Power increases if Fusion Flare is used in the same turn.',100,100,5,NULL,NULL,5
'Fusion Flare','Fire','Special','Power increases if Fusion Bolt is used in the same turn.',100,100,5,NULL,NULL,5
'Future Sight','Psychic','Special','Damage occurs 2 turns later.',120,100,10,NULL,NULL,2
'Gear Grind','Steel','Physical','Hits twice in one turn.',50,85,15,NULL,NULL,5
'Gear Up','Steel','Status','The user engages its gears to raise the Attack and Sp. Atk stats of ally Pokémon with the Plus or Minus Ability.',NULL,NULL,20,NULL,NULL,7
'Genesis Supernova','Psychic','Special','Mew-exclusive Z-Move.',185,NULL,1,NULL,NULL,7
'Giga Drain','Grass','Status','User recovers half the HP inflicted on opponent.',75,100,10,NULL,NULL,2
'Giga Impact','Normal','Physical','User must recharge next turn.',150,90,5,68,NULL,4
'Gigavolt Havoc','Electric','Z-Move','Electric type Z-Move.',NULL,NULL,1,NULL,NULL,7
'Glare','Normal','Status','Paralyzes opponent.',NULL,100,30,NULL,NULL,1
'Glitzy Glow','Psychic','Special','Reduces damage from Special attacks.',90,100,15,NULL,NULL,7
'Grass Pledge','Grass','Special','Added effects appear if preceded by Water Pledge or succeeded by Fire Pledge.',80,100,10,NULL,NULL,5
'Grass Whistle','Grass','Status','Puts opponent to sleep.',NULL,55,15,NULL,NULL,3
'Grassy Terrain','Grass','Status','Restores a little HP of all Pokémon for 5 turns. ',NULL,NULL,10,NULL,NULL,6
'Gravity','Psychic','Status','Prevents moves like Fly and Bounce and the Ability Levitate for 5 turns.',NULL,NULL,5,NULL,NULL,4
'Guard Split','Psychic','Status','Averages Defense and Special Defense with the target.',NULL,NULL,10,NULL,NULL,5
'Guard Swap','Psychic','Status','User and opponent swap Defense and Special Defense.',NULL,NULL,10,NULL,NULL,4
'Gunk Shot','Poison','Physical','May poison opponent.',120,80,5,NULL,30,4
'Gust','Flying','Special','Hits Pokémon using Fly/Bounce with double power.',40,100,35,NULL,NULL,1
'Hail','Ice','Status','Non-Ice types are damaged for 5 turns.',NULL,NULL,10,07,NULL,3
'Happy Hour','Normal','Status','Doubles prize money from trainer battles.',NULL,NULL,30,NULL,NULL,6
'Haze','Ice','Status','Resets all stat changes.',NULL,NULL,30,NULL,NULL,1
'Head Charge','Normal','Physical','User receives recoil damage.',120,100,15,NULL,NULL,5
'Head Smash','Rock','Physical','User receives recoil damage.',150,80,5,NULL,NULL,4
'Headbutt','Normal','Physical','May cause flinching.',70,100,15,NULL,30,1
'Heal Block','Psychic','Status','Prevents the opponent from restoring HP for 5 turns.',NULL,NULL,15,NULL,NULL,4
'Heal Order','Bug','Status','User recovers half its max HP.',NULL,NULL,10,NULL,NULL,4
'Healing Wish','Psychic','Status','The user faints and the next Pokémon released is fully healed.',NULL,NULL,10,NULL,NULL,4
'Heart Stamp','Psychic','Physical','May cause flinching.',60,100,25,NULL,30,5
'Heart Swap','Psychic','Status','Stat changes are swapped with the opponent.',NULL,NULL,10,NULL,NULL,4
'Heat Wave','Fire','Special','May burn opponent.',95,90,10,NULL,10,3
'Hex','Ghost','Special','Inflicts more damage if the target has a status condition.',65,100,10,NULL,NULL,5
'High Horsepower','Ground','Physical','The user fiercely attacks the target using its entire body.',95,95,10,NULL,NULL,7
'Hold Back','Normal','Physical','Always leaves opponent with at least 1 HP.',40,100,40,NULL,NULL,6
'Hold Hands','Normal','Status','Makes the user and an ally very happy.',NULL,NULL,40,NULL,NULL,6
'Horn Attack','Normal','Physical','',65,100,25,NULL,NULL,1
'Horn Leech','Grass','Physical','User recovers half the HP inflicted on opponent.',75,100,10,NULL,NULL,5
'Hurricane','Flying','Special','May confuse opponent.',110,70,10,NULL,30,5
'Hydro Cannon','Water','Special','User must recharge next turn.',150,90,5,NULL,NULL,3
'Hydro Pump','Water','Special','',110,80,5,NULL,NULL,1
'Hydro Vortex','Water','Z-Move','Water type Z-Move.',NULL,NULL,1,NULL,NULL,7
'Hyper Beam','Normal','Special','User must recharge next turn.',150,90,5,15,NULL,1
'Hyper Fang','Normal','Physical','May cause flinching.',80,90,15,NULL,10,1
'Hyper Voice','Normal','Special','',90,100,10,NULL,NULL,3
'Hyperspace Hole','Psychic','Special','Can strike through Protect/Detect.',80,NULL,5,NULL,NULL,6
'Hypnosis','Psychic','Status','Puts opponent to sleep.',NULL,60,20,NULL,NULL,1
'Ice Ball','Ice','Physical','Doubles in power each turn for 5 turns.',30,90,20,NULL,NULL,3
'Ice Beam','Ice','Special','May freeze opponent.',90,100,10,13,10,1
'Ice Fang','Ice','Physical','May cause flinching and/or freeze opponent.',65,95,15,NULL,10,4
'Ice Punch','Ice','Physical','May freeze opponent.',75,100,15,NULL,10,1
'Ice Shard','Ice','Physical','User attacks first.',40,100,30,NULL,NULL,4
'Icicle Crash','Ice','Physical','May cause flinching.',85,90,10,NULL,30,5
'Icicle Spear','Ice','Physical','Hits 2-5 times in one turn.',25,100,30,NULL,NULL,3
'Imprison','Psychic','Status','Opponent is unable to use moves that the user also knows.',NULL,NULL,10,NULL,NULL,3
'Inferno','Fire','Special','Burns opponent.',100,50,5,NULL,100,5
'Inferno Overdrive','Fire','Z-Move','Fire type Z-Move.',NULL,NULL,1,NULL,NULL,7
'Ingrain','Grass','Status','User restores HP each turn. User cannot escape/switch.',NULL,NULL,20,NULL,NULL,3
'Instruct','Psychic','Status','Allows an ally to use a move instead.',NULL,NULL,15,NULL,NULL,7
'Ion Deluge','Electric','Status','Changes Normal-type moves to Electric-type.',NULL,NULL,25,NULL,NULL,6
'Iron Head','Steel','Physical','May cause flinching.',80,100,15,NULL,30,4
'Judgment','Normal','Special','Type depends on the Arceus Plate being held.',100,100,10,NULL,NULL,4
'Karate Chop','Fighting','Physical','High critical hit ratio.',50,100,25,NULL,NULL,1
'Last Resort','Normal','Physical','Can only be used after all other moves are used.',140,100,5,NULL,NULL,4
'Lava Plume','Fire','Special','May burn opponent.',80,100,15,NULL,30,4
'Leaf Blade','Grass','Physical','High critical hit ratio.',90,100,15,NULL,NULL,3
'Leafage','Grass','Physical','Strikes opponent with leaves.',40,100,40,NULL,NULL,7
'Leech Life','Bug','Physical','User recovers half the HP inflicted on opponent.',80,100,10,28,NULL,1
'Leech Seed','Grass','Status','Drains HP from opponent each turn.',NULL,90,10,NULL,NULL,1
'Lick','Ghost','Physical','May paralyze opponent.',30,100,30,NULL,30,1
'Light of Ruin','Fairy','Special','User receives recoil damage.',140,90,5,NULL,NULL,6
'Light Screen','Psychic','Status','Halves damage from Special attacks for 5 turns.',NULL,NULL,30,16,NULL,1
'Lovely Kiss','Normal','Status','Puts opponent to sleep.',NULL,75,10,NULL,NULL,1
'Lucky Chant','Normal','Status','Opponent cannot land critical hits for 5 turns.',NULL,NULL,30,NULL,NULL,4
'Lunar Dance','Psychic','Status','The user faints but the next Pokémon released is fully healed.',NULL,NULL,10,NULL,NULL,4
'Mach Punch','Fighting','Physical','User attacks first.',40,100,30,NULL,NULL,2
'Magic Coat','Psychic','Status','Reflects moves that cause status conditions back to the attacker.',NULL,NULL,15,NULL,NULL,3
'Magic Room','Psychic','Status','Suppresses the effects of held items for five turns.',NULL,NULL,10,NULL,NULL,5
'Magical Leaf','Grass','Special','Ignores Accuracy and Evasiveness.',60,NULL,20,NULL,NULL,3
'Magnet Bomb','Steel','Physical','Ignores Accuracy and Evasiveness.',60,NULL,20,NULL,NULL,4
'Magnet Rise','Electric','Status','User becomes immune to Ground-type moves for 5 turns.',NULL,NULL,10,NULL,NULL,4
'Magnetic Flux','Electric','Status','Raises Defense and Sp. Defense of Plus/Minus Pokémon.',NULL,NULL,20,NULL,NULL,6
'Magnitude','Ground','Physical','Hits with random power.',NULL,100,30,NULL,NULL,2
'Malicious Moonsault','Dark','Physical','Incineroar-exclusive Z-Move.',180,NULL,1,NULL,NULL,7
'Mat Block','Fighting','Status','Protects teammates from damaging moves.',NULL,NULL,10,NULL,NULL,6
'Mean Look','Normal','Status','Opponent cannot flee or switch.',NULL,NULL,5,NULL,NULL,2
'Mega Drain','Grass','Special','User recovers half the HP inflicted on opponent.',40,100,15,NULL,NULL,1
'Mega Kick','Normal','Physical','',120,75,5,NULL,NULL,1
'Mega Punch','Normal','Physical','',80,85,20,NULL,NULL,1
'Megahorn','Bug','Physical','',120,85,10,NULL,NULL,2
'Menacing Moonraze Maelstrom','Ghost','Special','Lunala-exclusive Z-Move.',200,NULL,1,NULL,NULL,7
'Metronome','Normal','Status','User performs almost any move in the game at random.',NULL,NULL,10,NULL,NULL,1
'Milk Drink','Normal','Status','User recovers half its max HP.',NULL,NULL,10,NULL,NULL,2
'Mind Blown','Fire','Status','User receives recoil damage.',150,100,5,NULL,NULL,7
'Misty Terrain','Fairy','Status','Protects the field from status conditions for 5 turns.',NULL,NULL,10,NULL,NULL,6
'Moonlight','Fairy','Status','User recovers HP. Amount varies with the weather.',NULL,NULL,5,NULL,NULL,2
'Morning Sun','Normal','Status','User recovers HP. Amount varies with the weather.',NULL,NULL,5,NULL,NULL,2
'Mud Sport','Ground','Status','Weakens the power of Electric-type moves.',NULL,NULL,15,NULL,NULL,3
'Nature Power','Normal','Status','Uses a certain move based on the current terrain.',NULL,NULL,20,96,NULL,3
'Needle Arm','Grass','Physical','May cause flinching.',60,100,15,NULL,30,3
'Never-Ending Nighare','Ghost','Z-Move','Ghost type Z-Move.',NULL,NULL,1,NULL,NULL,7
'Night Slash','Dark','Physical','High critical hit ratio.',70,100,15,NULL,NULL,4
'Nighare','Ghost','Status','The sleeping opponent loses 25% of its max HP each turn.',NULL,100,15,NULL,NULL,2
'Nuzzle','Electric','Physical','Paralyzes opponent.',20,100,20,NULL,100,6
'Oblivion Wing','Flying','Special','User recovers most of the HP inflicted on opponent.',80,100,10,NULL,NULL,6
'Oceanic Operetta','Water','Special','Primarina-exclusive Z-Move.',195,NULL,1,NULL,NULL,7
'Origin Pulse','Water','Special','Hits all adjacent opponents.',110,85,10,NULL,NULL,6
'Outrage','Dragon','Physical','User attacks for 2-3 turns but then becomes confused.',120,100,10,NULL,NULL,2
'Parabolic Charge','Electric','Special','User recovers half the HP inflicted on opponent.',65,100,20,NULL,NULL,6
'Pay Day','Normal','Physical','A small amount of money is gained after the battle resolves.',40,100,20,NULL,NULL,1
'Payback','Dark','Physical','Power doubles if the user was attacked first.',50,100,10,66,NULL,4
'Peck','Flying','Physical','',35,100,35,NULL,NULL,1
'Perish Song','Normal','Status','Any Pokémon in play when this attack is used faints in 3 turns.',NULL,NULL,5,NULL,NULL,2
'Petal Blizzard','Grass','Physical','Hits all adjacent Pokémon.',90,100,15,NULL,NULL,6
'Petal Dance','Grass','Special','User attacks for 2-3 turns but then becomes confused.',120,100,10,NULL,NULL,1
'Pin Missile','Bug','Physical','Hits 2-5 times in one turn.',25,95,20,NULL,NULL,1
'Plasma Fists','Electric','Physical','Changes Normal-type moves to Electric-type moves.',100,100,15,NULL,NULL,7
'Poison Fang','Poison','Physical','May badly poison opponent.',50,100,15,NULL,50,3
'Poison Gas','Poison','Status','Poisons opponent.',NULL,90,40,NULL,NULL,1
'Poison Jab','Poison','Physical','May poison the opponent.',80,100,20,84,30,4
'Poison Powder','Poison','Status','Poisons opponent.',NULL,75,35,NULL,NULL,1
'Poison Sting','Poison','Physical','May poison the opponent.',15,100,35,NULL,30,1
'Poison Tail','Poison','Physical','High critical hit ratio. May poison opponent.',50,100,25,NULL,10,3
'Pound','Normal','Physical','',40,100,35,NULL,NULL,1
'Powder','Bug','Status','Damages Pokémon using Fire type moves.',NULL,100,20,NULL,NULL,6
'Powder Snow','Ice','Special','May freeze opponent.',40,100,25,NULL,10,2
'Power Gem','Rock','Special','',80,100,20,NULL,NULL,4
'Power Split','Psychic','Status','Averages Attack and Special Attack with the target.',NULL,NULL,10,NULL,NULL,5
'Power Swap','Psychic','Status','User and opponent swap Attack and Special Attack.',NULL,NULL,10,NULL,NULL,4
'Power Whip','Grass','Physical','',120,85,10,NULL,NULL,4
'Power-Up Punch','Fighting','Physical','Raises Attack.',40,100,10,NULL,100,6
'Precipice Blades','Ground','Physical','Hits all adjacent opponents.',120,85,10,NULL,NULL,6
'Present','Normal','Physical','Either deals damage or heals.',NULL,90,15,NULL,NULL,2
'Psybeam','Psychic','Special','May confuse opponent.',65,100,20,NULL,10,1
'Psychic Fangs','Psychic','Physical','The user bites the target with its psychic capabilities. This can also destroy Light Screen and Reflect.',85,100,10,NULL,NULL,7
'Psychic Terrain','Psychic','Status','Prevents priority moves from being used for 5 turns.',NULL,NULL,10,NULL,NULL,7
'Psycho Cut','Psychic','Physical','High critical hit ratio.',70,100,20,NULL,NULL,4
'Pulverizing Pancake','Normal','Physical','Snorlax-exclusive Normal type Z-Move.',210,NULL,1,NULL,NULL,7
'Pursuit','Dark','Physical','Double power if the opponent is switching out.',40,100,20,NULL,NULL,2
'Quash','Dark','Status','Makes the target act last this turn.',NULL,100,15,60,NULL,5
'Quick Attack','Normal','Physical','User attacks first.',40,100,30,NULL,NULL,1
'Rain Dance','Water','Status','Makes it rain for 5 turns.',NULL,NULL,5,18,NULL,2
'Rapid Spin','Normal','Physical','Removes effects of trap moves.',20,100,40,NULL,NULL,2
'Razor Leaf','Grass','Physical','High critical hit ratio.',55,95,25,NULL,NULL,1
'Recover','Normal','Status','User recovers half its max HP.',NULL,NULL,10,NULL,NULL,1
'Reflect','Psychic','Status','Halves damage from Physical attacks for 5 turns.',NULL,NULL,20,33,NULL,1
'Relic Song','Normal','Special','May put the target to sleep.',75,100,10,NULL,10,5
'Retaliate','Normal','Physical','Inflicts double damage if a teammate fainted on the last turn.',70,100,5,NULL,NULL,5
'Return','Normal','Physical','Power increases with higher Friendship.',NULL,100,20,27,NULL,2
'Revenge','Fighting','Physical','Power increases if user was hit first.',60,100,10,NULL,NULL,3
'Roar of Time','Dragon','Special','User must recharge next turn.',150,90,5,NULL,NULL,4
'Rock Blast','Rock','Physical','Hits 2-5 times in one turn.',25,90,10,NULL,NULL,3
'Rock Climb','Normal','Physical','May confuse opponent.',90,85,20,NULL,20,4
'Rock Slide','Rock','Physical','May cause flinching.',75,90,10,80,30,1
'Rock Throw','Rock','Physical','',50,90,15,NULL,NULL,1
'Rock Wrecker','Rock','Physical','User must recharge next turn.',150,90,5,NULL,NULL,4
'Rolling Kick','Fighting','Physical','May cause flinching.',60,85,15,NULL,30,1
'Rollout','Rock','Physical','Doubles in power each turn for 5 turns.',30,90,20,NULL,NULL,2
'Roost','Flying','Status','User recovers half of its max HP and loses the Flying type temporarily.',NULL,NULL,10,19,NULL,4
'Rototiller','Ground','Status','Raises Attack and Special Attack of Grass-types.',NULL,NULL,10,NULL,NULL,6
'Round','Normal','Special','Power increases if teammates use it in the same turn.',60,100,15,48,NULL,5
'Sacred Fire','Fire','Physical','May burn opponent.',100,95,5,NULL,50,2
'Sandstorm','Rock','Status','Creates a sandstorm for 5 turns.',NULL,NULL,10,37,NULL,2
'Sappy Seed','Grass','Physical','Drains HP from opponent each turn.',90,100,15,NULL,100,7
'Savage Spin-Out','Bug','Z-Move','Bug type Z-Move.',NULL,NULL,1,NULL,NULL,7
'Scald','Water','Special','May burn opponent.',80,100,15,55,30,5
'Scratch','Normal','Physical','',40,100,35,NULL,NULL,1
'Searing Shot','Fire','Special','May burn opponent.',100,100,5,NULL,30,5
'Searing Sunraze Smash','Steel','Physical','Solgaleo-exclusive Z-Move.',200,NULL,1,NULL,NULL,7
'Secret Power','Normal','Physical','Effects of the attack vary with the location.',70,100,20,NULL,30,3
